_step,val/box_loss,val/moe_loss,_runtime,train/cls_loss,epoch,train/moe_loss,mAP50-95,mAP50,train/box_loss,val/cls_loss,_timestamp
154,1.28928,0,9643.665370867,0.91094,154,1.0,0.19644,0.338,1.30859,0.93384,1784822980.7320783
155,1.28931,0,9706.225660859,0.91717,155,1.0,0.19644,0.33807,1.3144,0.93379,1784823043.3546798
156,1.28938,0,9768.882139573,0.90903,156,1.0,0.19646,0.33807,1.30972,0.93381,1784823105.914959
157,1.28934,0,9830.980391142,0.90897,157,1.0,0.19633,0.33795,1.31124,0.93367,1784823168.571486
158,1.28928,0,9893.190522529,0.90863,158,1.0,0.19628,0.3378,1.30447,0.93368,1784823230.669791
159,1.28923,0,9955.706353113,0.90082,159,1.0,0.19625,0.3378,1.30042,0.93364,1784823292.8799193
160,1.28928,0,10018.050974363,0.90534,160,1.0,0.19628,0.33787,1.3094,0.9335,1784823355.395705
161,1.28917,0,10080.667850712,0.90414,161,1.0,0.19626,0.33779,1.29776,0.93336,1784823417.7402325
162,1.2892,0,10143.32070291,0.89799,162,1.0,0.19619,0.33832,1.29783,0.93329,1784823480.3572164
163,1.28912,0,10205.64539314,0.90821,163,1.0,0.19621,0.33836,1.31135,0.93315,1784823543.0100195
164,1.28912,0,10268.118779854,0.89898,164,1.0,0.1963,0.33842,1.30424,0.93306,1784823605.334655
165,1.28911,0,10330.460556928,0.90265,165,1.0,0.19644,0.33857,1.29924,0.93306,1784823667.8081124
166,1.28908,0,10393.073725267,0.8977,166,1.0,0.19647,0.33856,1.29458,0.93295,1784823730.1498988
167,1.28916,0,10455.428511346,0.89221,167,1.0,0.19653,0.33858,1.29382,0.93294,1784823792.7630737
168,1.2892,0,10518.194388429,0.89381,168,1.0,0.19656,0.33864,1.29387,0.93281,1784823855.1178443
169,1.28914,0,10580.641722265,0.89083,169,1.0,0.19669,0.33868,1.29163,0.93277,1784823917.8836784
170,1.28926,0,10643.02419808,0.89049,170,1.0,0.19671,0.33878,1.29649,0.93274,1784823980.331079
171,1.28928,0,10705.745975987,0.89173,171,1.0,0.19662,0.33875,1.29486,0.93268,1784824042.7135627
172,1.28938,0,10768.245147292,0.88427,172,1.0,0.19672,0.33895,1.29082,0.93267,1784824105.435428
173,1.28932,0,10830.535207695,0.89475,173,1.0,0.1969,0.33933,1.29659,0.93253,1784824167.9345176
174,1.28943,0,10893.163289389,0.887,174,1.0,0.19685,0.33917,1.29258,0.93256,1784824230.2245965
175,1.28941,0,10955.560161436,0.88715,175,1.0,0.19679,0.33911,1.2947,0.93245,1784824292.8526516
176,1.28958,0,11018.078380439,0.88886,176,1.0,0.19673,0.33921,1.29756,0.9324,1784824355.2495294
177,1.28947,0,11080.51331294,0.88992,177,1.0,0.19681,0.33928,1.29255,0.93238,1784824417.7677996
178,1.28942,0,11143.205358812,0.88535,178,1.0,0.19678,0.3393,1.2892,0.93234,1784824480.202642
179,1.28949,0,11205.727141266,0.88402,179,1.0,0.19682,0.33936,1.28899,0.93231,1784824542.894698
180,1.28944,0,11268.28574373,0.88783,180,1.0,0.19678,0.33945,1.29264,0.93227,1784824605.4164803
181,1.28953,0,11330.906546037,0.8864,181,1.0,0.19675,0.3395,1.29308,0.93225,1784824667.9751937
182,1.28953,0,11393.772611691,0.88145,182,1.0,0.19684,0.33956,1.29047,0.9323,1784824730.595964
183,1.28947,0,11456.407124253,0.88716,183,1.0,0.19675,0.33949,1.29794,0.93226,1784824793.4620175
184,1.28963,0,11518.824141341,0.88344,184,1.0,0.19673,0.33953,1.29058,0.93228,1784824856.096509
185,1.2895,0,11581.777703015,0.88134,185,1.0,0.19688,0.33961,1.28779,0.93227,1784824918.5134983
186,1.28964,0,11644.308826697,0.88357,186,1.0,0.19682,0.33941,1.28619,0.93225,1784824981.4670851
187,1.28969,0,11706.598106152,0.87772,187,1.0,0.19678,0.33935,1.2825,0.93226,1784825043.998207
188,1.28963,0,11769.482200914,0.8773,188,1.0,0.19678,0.33926,1.28346,0.93229,1784825106.2874475
189,1.28957,0,11832.337417123,0.88054,189,1.0,0.19681,0.33925,1.29036,0.93225,1784825169.171503
190,1.2897,0,11896.427500996,0.88065,190,1.0,0.19674,0.33925,1.28738,0.93227,1784825232.0267966
191,1.28972,0,11957.508061424,0.88055,191,1.00001,0.19679,0.33932,1.27522,0.93228,1784825296.1169744
192,1.28977,0,12018.874419462,0.85668,192,1.00002,0.19681,0.33937,1.25908,0.93233,1784825357.1973977
193,1.28996,0,12080.221305345,0.85367,193,1.00001,0.19667,0.33913,1.25491,0.93243,1784825418.563762
194,1.29003,0,12141.671056869,0.84762,194,1.00001,0.19671,0.33908,1.25259,0.93243,1784825479.9106777
195,1.29005,0,12202.875197447,0.84911,195,1.0,0.19678,0.3391,1.25692,0.93248,1784825541.360398
196,1.29,0,12264.009298409,0.84513,196,1.0,0.1968,0.33908,1.25068,0.93251,1784825602.5645828
197,1.2901,0,12325.214715504,0.84198,197,1.0,0.19675,0.33913,1.25145,0.93247,1784825663.6985352
198,1.29016,0,12386.819553259,0.8402,198,1.0,0.19671,0.33915,1.24607,0.93253,1784825724.9040616
199,1.29011,0,12448.172762939,0.84159,199,1.0,0.19665,0.33881,1.25193,0.93256,1784825786.5089226
200,1.29013,0,12455.569631629,0.84144,200,1.0,0.19689743821184083,0.33931021124417593,1.25126,0.93254,1784825854.2841644
